Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,47n,
"C10, C11, C12, C13, C14, C15, C16, C17",0805,8,100n,
C2,0805,1,22n,
C3,0805,1,10n,
C4,0805,1,470p,
C5,0805,1,1n,
"C6, C9",0805,2,10u,
"C7, C8",CP_Radial_D6.3mm_P2.50mm,2,100u,
"D1, D2",D_SOD-123,2,2.5,
"D3, D4",0805,2,LED,
J1,AC3FAH2-F-XLR,1,AC3FAH2-XLR,
J2,AC3MAH-AU-PRE_AMP,1,AC3MAH-AU-PRE,
"J3, J4, J5",Banana-FCR7350L,3,Banana,
J7,31-5486-1010 BNC Panel RA,1,Conn_Coaxial,
"R1, R12, R13, R14, R15, R17, R2, R3, R4, R6, R7, R8, R9",0805,13,1k,
"R10, R11, R18, R19, R20, R5",0805,6,10k,
R16,0805,1,220,
RV1,Potentiometer_Bourns_3296W_Vertical,1,10k,
SW1,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W8.61mm_P2.54mm,1,SW_DIP_x04,
"TP1, TP2, TP3, TP4, TP5",TestPoint_Loop_D2.50mm_Drill1.0mm,5,5002,
"U1, U2, U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,4,ADA4610-2xR,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,L78L05_SO8,
