Designator,Mid X,Mid Y,Rotation,Layer
C1,164.875,-50.25,0.0,top
C10,187.25,-34.0,0.0,top
C11,189.225,-69.0575,270.0,top
C12,162.4625,-35.0,180.0,top
C13,186.5,-49.5,270.0,top
C14,183.75,-42.0,180.0,top
C15,183.975,-79.095,90.0,top
C16,155.725,-43.845,90.0,top
C17,180.75,-59.2875,90.0,top
C2,164.875,-52.75,0.0,top
C3,164.875,-55.5,0.0,top
C4,164.875,-64.25,0.0,top
C5,164.875,-61.5,0.0,top
C6,190.225,-78.845,90.0,top
C7,146.5,-72.5,0.0,top
C8,156.0,-72.0,180.0,top
C9,164.25,-78.9625,270.0,top
D1,170.85,-36.25,0.0,top
D2,175.85,-36.25,180.0,top
D3,153.5,-80.46,0.0,top
D4,153.5,-83.5,180.0,top
J1,127.5,-43.0,90.0,top
J2,206.174,-43.3434,270.0,top
J3,127.075,-66.25,0.0,top
J4,127.325,-96.36,0.0,top
J5,127.325,-81.5,0.0,top
J7,205.279,-72.58,270.0,top
R1,148.225,-40.345,0.0,top
R10,192.475,-74.845,90.0,top
R11,192.475,-78.845,90.0,top
R12,179.975,-75.345,0.0,top
R13,179.975,-70.095,180.0,top
R14,179.975,-77.595,180.0,top
R15,179.975,-72.345,0.0,top
R16,178.5,-61.5,90.0,top
R17,176.25,-38.75,0.0,top
R18,148.525,-80.51,0.0,top
R19,148.525,-83.46,0.0,top
R2,152.475,-40.345,0.0,top
R20,163.5,-44.0,90.0,top
R3,148.225,-37.345,0.0,top
R4,152.475,-37.345,0.0,top
R5,178.5,-53.25,90.0,top
R6,178.5,-57.25,90.0,top
R7,159.125,-50.25,0.0,top
R8,188.25,-42.0,0.0,top
R9,190.75,-38.5,90.0,top
RV1,151.55,-50.25,180.0,top
SW1,155.43,-60.06,0.0,top
TP1,150.5,-34.5,0.0,top
TP2,177.75,-43.5,0.0,top
TP3,186.25,-59.5,0.0,top
TP4,173.0,-49.5,0.0,top
TP5,186.0,-68.0,0.0,top
U1,185.5,-38.0,270.0,top
U2,186.5,-74.0,270.0,top
U3,158.5,-39.0,270.0,top
U4,183.5,-54.5,270.0,top
U5,166.975,-83.8675,270.0,top
