Designator,Mid X,Mid Y,Layer,Rotation
C3,134.5,-82.5,top,0
C8,124.25,-87.25,top,180
C10,90.2,-67,top,180
C12,93.5,-71,top,90
C13,118.525,-80,top,180
C15,120,-101.5,top,0
C16,93,-99,top,0
C17,93,-102,top,0
C18,93,-105,top,0
C19,93,-108,top,0
C20,103.5,-104.5,top,0
C21,112.25,-97.25,top,90
C22,116.5,-97.3,top,90
C23,109.0875,-73.5,top,0
C26,104.5,-108.4125,top,90
C27,121.5,-113,top,180
C29,98.45,-74.5,top,0
C31,92.05,-74.5,top,180
C32,130,-94.5,top,180
C33,129.975,-97,top,180
C34,130,-77,top,180
C35,130,-74.5,top,180
C40,120.75,-89.25,top,-90
C41,125.025,-84.25,top,0
D1,87,-52,top,-90
D2,96.35,-66,top,180
D4,111.0875,-65.5,top,-90
L1,104.0875,-65.2,top,0
Q1,94,-55.1,top,90
Q2,82.5,-79,top,90
Q3,85.4125,-88.5,top,0
R1,95.9125,-63.1,top,180
R2,92,-63.1,top,180
R3,80.0875,-65,top,0
R4,117.5875,-86.5,top,0
R5,76.0875,-71,top,180
R6,122.4125,-77.25,top,0
R7,123.0875,-94.25,top,0
R8,100.5,-95.76,top,90
R9,109.5,-108.5,top,90
R10,121.4125,-108,top,0
R11,121.4125,-110.5,top,0
R12,113.5,-110.5,top,0
R13,117.5,-110.5,top,0
R14,117.5875,-84,top,0
R15,117.5875,-92,top,0
R16,117.5875,-89.25,top,0
R17,119.0875,-71,top,0
R18,109,-70.5,top,0
R19,113,-70.5,top,0
R20,107,-108.5,top,-90
R21,107.0875,-104.5,top,0
R22,107,-101,top,0
R23,84,-83,top,90
R24,81.5,-82.9125,top,90
R25,82.5875,-76,top,0
R26,81.5,-87.5,top,0
R27,81.5,-90,top,0
R28,89.5,-88.5,top,0
R29,110.8375,-86.5,top,0
R30,110.8375,-89.75,top,0
SW1,99,-88,top,0
U2,89.5,-70.5,top,180
U3,95,-78.5,top,0
U4,114,-104,top,0
U5,118.5,-65,top,0
